step,forward_ms,backward_ms,optimizer_ms
1,1115.024182,1190.217682,136.953823
2,2.900599,3.282093,0.989373
3,2.621055,3.313954,0.963492
4,2.687916,3.289643,1.009574
5,2.865417,3.294854,1.110735
6,3.437085,3.485406,1.136535
7,2.688245,3.337945,0.991983
8,2.894178,3.382135,1.039253
9,2.808077,3.263023,1.017333
10,2.597084,3.277363,0.972323
11,2.687495,3.273443,1.000533
12,2.702586,3.372264,1.010283
13,2.764386,3.235673,1.008143
14,2.992879,3.390794,1.136224
15,3.197703,3.289453,1.097564
16,3.111711,3.591958,1.069244
17,2.636195,3.384655,0.967063
18,2.629725,3.322463,0.996564
19,2.625324,3.254774,1.002523
20,2.667116,3.335933,1.014554
21,2.953499,3.378354,1.116895
22,2.873428,3.306174,1.070374
23,3.327413,3.332344,1.105435
24,2.921058,3.465526,1.022633
25,2.783677,3.334754,0.997543
26,2.689525,3.344324,1.020314
27,3.04077,3.185342,0.946792
28,2.666315,3.218503,1.453779
29,2.896439,3.164821,1.094915
30,3.300024,3.370844,0.984413
31,2.690296,3.227833,0.967812
32,2.664454,3.303604,0.988113
33,3.0547,3.157331,1.165095
34,2.681795,3.316064,0.978563
35,3.217622,3.296224,1.077944
36,3.424225,3.332124,1.015833
37,3.801171,3.578597,1.475129
38,2.824347,3.396525,1.478579
39,2.898158,3.556137,0.952472
40,3.287143,3.358734,0.984223
41,2.953729,3.303083,0.975002
42,3.019839,3.827981,1.184275
43,35.172743,59.363132,2.130508
