task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Optimisation step #4,2026-04-04T13:36:54,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.0032981857657432556,1.251898280798295e-09,3.8051776752473974e-07,360.0,0.0,10.0,3.094237297773263e-07,0.0,8.530397382046636e-09,3.179541271594458e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #5,2026-04-04T13:36:55,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.24710727110505104,1.5830916359115713e-07,6.408945039992212e-07,360.0,215.69115737617622,10.0,2.4713115394115425e-05,1.4807511860226441e-05,6.863549765613339e-07,4.020698223090326e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #5,2026-04-04T13:36:55,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.5650163479149342,3.623457678614787e-07,6.418003163284126e-07,360.0,217.09545991906282,10.0,5.6429786980152145e-05,3.4030582781952035e-05,1.5673405697776206e-06,9.202771033188181e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #5,2026-04-04T13:36:55,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.0031925998628139496,2.951959084059678e-09,9.140062134332013e-07,360.0,0.0,10.0,7.295325398445104e-07,0.0,2.019895861546183e-08,7.49731498459979e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #6,2026-04-04T13:36:56,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.2465609535574913,1.4343511839319936e-07,5.814943392461323e-07,360.0,162.16291659264365,10.0,2.4643494561314564e-05,1.1101397774382349e-05,6.844155179957542e-07,3.6429307853692774e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #6,2026-04-04T13:36:56,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.5643303990364075,3.568311937928225e-07,6.327827130571197e-07,360.0,205.89406017507483,10.0,5.6651731953024894e-05,3.2401970372575306e-05,1.5734296912948287e-06,9.062713201689505e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #6,2026-04-04T13:36:56,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.003269936889410019,1.2759648654706768e-09,3.906412072338045e-07,360.0,0.0,10.0,3.153722733259621e-07,0.0,8.694227370950391e-09,3.24066500696882e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #7,2026-04-04T13:36:57,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.24721990525722504,1.5773318685413583e-07,6.37840137937193e-07,360.0,213.89589073032113,10.0,2.469894401729107e-05,1.4675845079636929e-05,6.859079417255205e-07,4.006069703865354e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #7,2026-04-04T13:36:57,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.5655041597783566,3.5650349299999086e-07,6.308401340768811e-07,360.0,207.09039174761574,10.0,5.648257434368129e-05,3.249252597470331e-05,1.5688030359645675e-06,9.054390335434923e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #7,2026-04-04T13:36:57,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.004115942865610123,1.293422836397131e-09,3.163016712299645e-07,360.0,0.0,10.0,3.196846693753752e-07,0.0,8.81576496693706e-09,3.285004343423631e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
