0,1
Step #1,2.2884979248046875
Step #2,2.303165912628174
Step #3,2.2971527576446533
Step #4,2.310513734817505
Step #5,2.2993083000183105
Step #6,2.314823627471924
Step #7,2.3100414276123047
Step #8,2.3130910396575928
Step #9,2.299391508102417
Step #10,2.2998828887939453
Step #11,2.3017497062683105
Step #12,2.312671184539795
Step #13,2.3200321197509766
Step #14,2.3070101737976074
Step #15,2.3159189224243164
Step #16,2.2984676361083984
Step #17,2.3154797554016113
Step #18,2.306720733642578
Step #19,2.2913107872009277
Step #20,2.30198073387146
Step #21,2.30523681640625
Step #22,2.3064064979553223
Step #23,2.3057305812835693
Step #24,2.307007312774658
Step #25,2.301266670227051
Step #26,2.319647789001465
Step #27,2.3009960651397705
Step #28,2.309323787689209
Step #29,2.300469398498535
Step #30,2.3058645725250244
Step #31,2.3041868209838867
Step #32,2.307722568511963
Step #33,2.2987446784973145
Step #34,2.3030266761779785
Step #35,2.3123910427093506
Step #36,2.3113832473754883
Step #37,2.29555606842041
Step #38,2.3079640865325928
Step #39,2.3157906532287598
Step #40,2.303034543991089
Step #41,2.2974801063537598
Step #42,2.296574115753174
Step #43,2.296067237854004
