timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue
2026-04-01T16:20:33,energy-efficiency,1f299e1a-6cb0-4fa6-8a2e-b04fdfaaa0d7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.8731973059475424,4.362618967214285e-05,2.328969272677599e-05,360.0,125.04381660534256,10.0,0.007204770836234,0.0036751743290892,0.0002001300063191,0.0110800751716424,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N,1.0,0.0
2026-04-04T12:49:52,energy-efficiency,d0be11a1-7dce-4739-a55f-b57f8d44d5c7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9399368725717068,4.40448389733566e-05,2.2704264038740543e-05,360.0,100.3398378823413,10.0,0.0072439918033778,0.0037411910484195,0.0002012198667352,0.0111864027185326,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N,1.0,0.0
2026-04-07T13:24:22,energy-efficiency,c4b7095b-adfe-4af2-a6a2-5d1ac59b4b64,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9304794780910015,4.318111970237254e-05,2.2368080154404527e-05,360.0,83.49758986120334,10.0,0.0071647939082235094,0.0036032281603013416,0.00019901529810287887,0.010967037366627725,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N,1.0,0.0
