step,phase,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,forward,90.0,111.9,11.845566464,1.373114368,18.850209792,0.0,0.0
1,backward,100.0,100.7,12.455837696,1.444511744,18.90363392,0.0,0.0
1,optimizer,100.0,94.8,12.49148928,1.50913024,18.961952768,0.0,0.0
2,forward,61.0,128.9,12.49148928,1.509347328,18.962210816,0.0,0.0
2,backward,100.0,99.5,12.49148928,1.509404672,18.962210816,0.0,0.0
2,optimizer,100.0,448.0,12.49148928,1.509412864,18.962210816,0.0,0.0
3,forward,87.0,133.0,12.49148928,1.509392384,18.96189952,0.0,0.0
3,backward,100.0,101.1,12.49148928,1.5094784,18.96210432,0.0,0.0
3,optimizer,100.0,0.0,12.49148928,1.5094784,18.96210432,0.0,0.0
4,forward,89.0,121.5,12.49148928,1.509384192,18.96210432,0.0,0.0
4,backward,100.0,101.1,12.49148928,1.509384192,18.96230912,0.0,0.0
4,optimizer,100.0,0.0,12.49148928,1.509384192,18.96230912,0.0,0.0
5,forward,87.0,131.0,12.49148928,1.509486592,18.962567168,0.0,0.0
5,backward,100.0,99.1,12.49148928,1.509486592,18.96251392,0.0,0.0
5,optimizer,100.0,448.1,12.49148928,1.50949888,18.96251392,0.0,0.0
6,forward,87.0,130.1,12.49148928,1.509359616,18.96251392,0.0,0.0
6,backward,100.0,99.4,12.49148928,1.509359616,18.96251392,0.0,0.0
6,optimizer,100.0,0.0,12.49148928,1.509359616,18.96251392,0.0,0.0
7,forward,87.0,133.7,12.49148928,1.509494784,18.962407424,0.0,0.0
7,backward,100.0,99.3,12.49148928,1.509494784,18.962407424,0.0,0.0
7,optimizer,100.0,0.0,12.49148928,1.50949888,18.962407424,0.0,0.0
8,forward,84.0,137.7,12.49148928,1.509625856,18.962096128,0.0,0.0
8,backward,100.0,99.1,12.49148928,1.509625856,18.962354176,0.0,0.0
8,optimizer,100.0,0.0,12.49148928,1.509629952,18.962354176,0.0,0.0
9,forward,85.0,139.0,12.49148928,1.509183488,18.962354176,0.0,0.0
9,backward,100.0,99.1,12.49148928,1.509187584,18.962300928,0.0,0.0
9,optimizer,100.0,0.0,12.49148928,1.509187584,18.962300928,0.0,0.0
10,forward,88.0,130.5,12.49148928,1.509421056,18.962558976,0.0,0.0
10,backward,100.0,100.8,12.49148928,1.509421056,18.96265728,0.0,0.0
10,optimizer,100.0,0.0,12.49148928,1.509421056,18.96265728,0.0,0.0
11,forward,87.0,133.2,12.49148928,1.50929408,18.962141184,0.0,0.0
11,backward,100.0,100.4,12.49148928,1.50929408,18.962345984,0.0,0.0
11,optimizer,100.0,0.0,12.49148928,1.509298176,18.962345984,0.0,0.0
12,forward,87.0,129.7,12.49148928,1.509429248,18.962604032,0.0,0.0
12,backward,100.0,100.9,12.49148928,1.509445632,18.962292736,0.0,0.0
12,optimizer,100.0,0.0,12.49148928,1.509445632,18.962292736,0.0,0.0
13,forward,87.0,130.4,12.49148928,1.509576704,18.962550784,0.0,0.0
13,backward,100.0,99.0,12.49148928,1.509576704,18.962550784,0.0,0.0
13,optimizer,100.0,503.8,12.49148928,1.509576704,18.962550784,0.0,0.0
14,forward,88.0,127.3,12.49148928,1.50943744,18.962960384,0.0,0.0
14,backward,100.0,100.6,12.49148928,1.50943744,18.962960384,0.0,0.0
14,optimizer,100.0,468.8,12.49148928,1.509441536,18.962960384,0.0,0.0
15,forward,83.0,137.8,12.49148928,1.509789696,18.962702336,0.0,0.0
15,backward,100.0,99.1,12.49148928,1.509789696,18.9628416,0.0,0.0
15,optimizer,100.0,0.0,12.49148928,1.509793792,18.9628416,0.0,0.0
16,forward,85.0,132.4,12.49148928,1.509240832,18.962583552,0.0,0.0
16,backward,100.0,100.9,12.49148928,1.509240832,18.962788352,0.0,0.0
16,optimizer,100.0,0.0,12.49148928,1.509240832,18.962788352,0.0,0.0
17,forward,87.0,133.3,12.49148928,1.509371904,18.962530304,0.0,0.0
17,backward,100.0,100.5,12.49148928,1.509371904,18.962735104,0.0,0.0
17,optimizer,100.0,0.0,12.49148928,1.509376,18.962735104,0.0,0.0
18,forward,87.0,126.1,12.49148928,1.509482496,18.962993152,0.0,0.0
18,backward,100.0,100.4,12.49148928,1.509482496,18.962939904,0.0,0.0
18,optimizer,100.0,503.3,12.49148928,1.509482496,18.962939904,0.0,0.0
19,forward,87.0,129.8,12.49148928,1.509613568,18.962423808,0.0,0.0
19,backward,100.0,100.9,12.49148928,1.509613568,18.962423808,0.0,0.0
19,optimizer,100.0,0.0,12.49148928,1.509613568,18.962423808,0.0,0.0
20,forward,87.0,126.6,12.49148928,1.509462016,18.963144704,0.0,0.0
20,backward,100.0,100.6,12.49148928,1.509462016,18.963144704,0.0,0.0
20,optimizer,100.0,0.0,12.49148928,1.509462016,18.963144704,0.0,0.0
21,forward,89.0,133.6,12.49148928,1.509593088,18.962522112,0.0,0.0
21,backward,100.0,98.9,12.49148928,1.509593088,18.962522112,0.0,0.0
21,optimizer,100.0,0.0,12.49148928,1.509593088,18.962522112,0.0,0.0
22,forward,87.0,126.3,12.49148928,1.50945792,18.962726912,0.0,0.0
22,backward,100.0,100.5,12.49148928,1.50945792,18.962726912,0.0,0.0
22,optimizer,100.0,0.0,12.49148928,1.50945792,18.962726912,0.0,0.0
23,forward,87.0,136.4,12.49148928,1.509318656,18.962726912,0.0,0.0
23,backward,100.0,100.2,12.49148928,1.509318656,18.962673664,0.0,0.0
23,optimizer,100.0,0.0,12.49148928,1.509318656,18.962673664,0.0,0.0
24,forward,84.0,133.9,12.49148928,1.509834752,18.96318976,0.0,0.0
24,backward,100.0,100.4,12.49148928,1.509834752,18.963136512,0.0,0.0
24,optimizer,100.0,0.0,12.49148928,1.509834752,18.963136512,0.0,0.0
25,forward,85.0,135.5,12.49148928,1.509523456,18.962620416,0.0,0.0
25,backward,100.0,100.2,12.49148928,1.509523456,18.962825216,0.0,0.0
25,optimizer,100.0,0.0,12.49148928,1.509527552,18.962825216,0.0,0.0
26,forward,87.0,129.4,12.49148928,1.509388288,18.962825216,0.0,0.0
26,backward,100.0,100.4,12.49148928,1.509388288,18.96251392,0.0,0.0
26,optimizer,100.0,0.0,12.49148928,1.509388288,18.96251392,0.0,0.0
27,forward,87.0,133.3,12.49148928,1.509658624,18.963030016,0.0,0.0
27,backward,100.0,98.6,12.49148928,1.509658624,18.963030016,0.0,0.0
27,optimizer,100.0,457.5,12.49148928,1.509658624,18.963030016,0.0,0.0
28,forward,87.0,129.5,12.49148928,1.509494784,18.962665472,0.0,0.0
28,backward,100.0,100.2,12.49148928,1.509494784,18.962665472,0.0,0.0
28,optimizer,100.0,0.0,12.49148928,1.509494784,18.962665472,0.0,0.0
29,forward,87.0,129.4,12.49148928,1.509359616,18.962870272,0.0,0.0
29,backward,100.0,100.0,12.49148928,1.509359616,18.962870272,0.0,0.0
29,optimizer,100.0,445.4,12.49148928,1.509363712,18.962870272,0.0,0.0
30,forward,87.0,129.1,12.49148928,1.509482496,18.962870272,0.0,0.0
30,backward,100.0,100.1,12.49148928,1.509482496,18.962817024,0.0,0.0
30,optimizer,100.0,0.0,12.49148928,1.509482496,18.962817024,0.0,0.0
31,forward,96.0,133.0,12.49148928,1.509613568,18.962558976,0.0,0.0
31,backward,100.0,100.0,12.49148928,1.509613568,18.962763776,0.0,0.0
31,optimizer,100.0,0.0,12.49148928,1.509613568,18.962763776,0.0,0.0
32,forward,87.0,129.8,12.49148928,1.50974464,18.963021824,0.0,0.0
32,backward,100.0,100.1,12.49148928,1.50974464,18.962968576,0.0,0.0
32,optimizer,100.0,0.0,12.49148928,1.50974464,18.962968576,0.0,0.0
33,forward,87.0,129.6,12.49148928,1.509605376,18.96245248,0.0,0.0
33,backward,100.0,100.1,12.49148928,1.509605376,18.962399232,0.0,0.0
33,optimizer,100.0,502.5,12.49148928,1.509605376,18.962399232,0.0,0.0
34,forward,87.0,129.4,12.49148928,1.509203968,18.962915328,0.0,0.0
34,backward,100.0,100.1,12.49148928,1.509203968,18.962915328,0.0,0.0
34,optimizer,100.0,0.0,12.49148928,1.509203968,18.962915328,0.0,0.0
35,forward,83.0,133.6,12.49148928,1.509781504,18.962550784,0.0,0.0
35,backward,100.0,101.6,12.49148928,1.509781504,18.962550784,0.0,0.0
35,optimizer,100.0,0.0,12.49148928,1.509781504,18.962550784,0.0,0.0
36,forward,85.0,136.8,12.49148928,1.509687296,18.962755584,0.0,0.0
36,backward,100.0,100.3,12.49148928,1.509687296,18.962751488,0.0,0.0
36,optimizer,100.0,0.0,12.49148928,1.509687296,18.962751488,0.0,0.0
37,forward,87.0,129.2,12.49148928,1.509548032,18.96249344,0.0,0.0
37,backward,100.0,100.1,12.49148928,1.509548032,18.96269824,0.0,0.0
37,optimizer,100.0,450.3,12.49148928,1.509556224,18.96269824,0.0,0.0
38,forward,87.0,128.3,12.49148928,1.509556224,18.963214336,0.0,0.0
38,backward,100.0,98.4,12.49148928,1.509556224,18.96290304,0.0,0.0
38,optimizer,100.0,499.6,12.49148928,1.509556224,18.96290304,0.0,0.0
39,forward,87.0,129.0,12.49148928,1.50941696,18.963161088,0.0,0.0
39,backward,100.0,99.8,12.49148928,1.50941696,18.962849792,0.0,0.0
39,optimizer,100.0,503.9,12.49148928,1.50941696,18.962849792,0.0,0.0
40,forward,87.0,129.3,12.49148928,1.509277696,18.962849792,0.0,0.0
40,backward,100.0,100.0,12.49148928,1.509277696,18.962538496,0.0,0.0
40,optimizer,100.0,0.0,12.49148928,1.509277696,18.962538496,0.0,0.0
41,forward,87.0,129.4,12.49148928,1.509388288,18.963054592,0.0,0.0
41,backward,100.0,100.1,12.49148928,1.509388288,18.963054592,0.0,0.0
41,optimizer,100.0,497.6,12.49148928,1.509388288,18.963054592,0.0,0.0
42,forward,87.0,129.7,12.49148928,1.509523456,18.962948096,0.0,0.0
42,backward,100.0,100.1,12.49148928,1.509523456,18.962948096,0.0,0.0
42,optimizer,100.0,0.0,12.49148928,1.509523456,18.962948096,0.0,0.0
43,forward,87.0,133.0,12.49148928,1.50966272,18.962894848,0.0,0.0
43,backward,100.0,99.9,12.49148928,1.50966272,18.962894848,0.0,0.0
43,optimizer,100.0,0.0,12.49148928,1.50966272,18.962894848,0.0,0.0
44,forward,97.0,129.6,12.49148928,1.509781504,18.962894848,0.0,0.0
44,backward,100.0,99.8,12.49148928,1.509781504,18.963099648,0.0,0.0
44,optimizer,100.0,0.0,12.49148928,1.509781504,18.963099648,0.0,0.0
45,forward,87.0,129.5,12.49148928,1.50964224,18.963099648,0.0,0.0
45,backward,100.0,101.2,12.49148928,1.50964224,18.9630464,0.0,0.0
45,optimizer,100.0,0.0,12.49148928,1.50964224,18.9630464,0.0,0.0
46,forward,87.0,132.7,12.49148928,1.509203968,18.963304448,0.0,0.0
46,backward,100.0,98.5,12.49148928,1.509203968,18.9632512,0.0,0.0
46,optimizer,100.0,0.0,12.49148928,1.509203968,18.9632512,0.0,0.0
47,forward,90.0,133.1,12.49148928,1.50933504,18.962735104,0.0,0.0
47,backward,100.0,100.1,12.49148928,1.50933504,18.962681856,0.0,0.0
47,optimizer,100.0,0.0,12.49148928,1.50933504,18.962681856,0.0,0.0
48,forward,87.0,129.4,12.49148928,1.509466112,18.963197952,0.0,0.0
48,backward,100.0,101.5,12.49148928,1.509466112,18.963197952,0.0,0.0
48,optimizer,100.0,0.0,12.49148928,1.509466112,18.963197952,0.0,0.0
49,forward,87.0,131.7,12.49148928,1.509597184,18.962833408,0.0,0.0
49,backward,100.0,100.0,12.49148928,1.50960128,18.962833408,0.0,0.0
49,optimizer,100.0,0.0,12.49148928,1.509605376,18.962833408,0.0,0.0
50,forward,84.0,133.4,12.49148928,1.509228544,18.963296256,0.0,0.0
50,backward,100.0,100.0,12.49148928,1.509228544,18.963296256,0.0,0.0
50,optimizer,100.0,0.0,12.49148928,1.509228544,18.963296256,0.0,0.0
51,forward,85.0,134.6,12.49148928,1.509548032,18.963038208,0.0,0.0
51,backward,100.0,101.4,12.49148928,1.509548032,18.96298496,0.0,0.0
51,optimizer,100.0,0.0,12.49148928,1.509548032,18.96298496,0.0,0.0
52,forward,87.0,129.6,12.49148928,1.509408768,18.963501056,0.0,0.0
52,backward,100.0,99.9,12.49148928,1.509408768,18.96318976,0.0,0.0
52,optimizer,100.0,0.0,12.49148928,1.509408768,18.96318976,0.0,0.0
53,forward,87.0,133.0,12.49148928,1.50953984,18.963447808,0.0,0.0
53,backward,100.0,100.1,12.49148928,1.50953984,18.963136512,0.0,0.0
53,optimizer,100.0,450.7,12.49148928,1.50953984,18.963136512,0.0,0.0
54,forward,87.0,129.0,12.49148928,1.509453824,18.962878464,0.0,0.0
54,backward,100.0,99.9,12.49148928,1.509453824,18.962567168,0.0,0.0
54,optimizer,100.0,0.0,12.49148928,1.509453824,18.962567168,0.0,0.0
55,forward,87.0,129.1,12.49148928,1.509670912,18.963341312,0.0,0.0
55,backward,100.0,99.9,12.49148928,1.509670912,18.963341312,0.0,0.0
55,optimizer,100.0,0.0,12.49148928,1.509670912,18.963341312,0.0,0.0
56,forward,87.0,132.4,12.49148928,1.509801984,18.963030016,0.0,0.0
56,backward,100.0,99.8,12.49148928,1.509801984,18.96271872,0.0,0.0
56,optimizer,100.0,0.0,12.49148928,1.509801984,18.96271872,0.0,0.0
57,forward,100.0,132.2,12.49148928,1.50966272,18.963234816,0.0,0.0
