task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Backward pass #4,2026-04-07T18:04:29,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.005164738744497299,2.363541478507768e-09,4.5988171642327474e-07,360.0,0.0,10.0,5.84118813276295e-07,0.0,1.6167790939410568e-08,6.00286604215703e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #4,2026-04-07T18:04:29,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.002823237329721451,1.104412710391174e-09,3.922813996390973e-07,360.0,0.0,10.0,2.7296356856822417e-07,0.0,7.532526635461448e-09,2.804960952036852e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #5,2026-04-07T18:04:29,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.0047977156937122345,3.1314092738997284e-09,6.503625789175257e-07,360.0,0.0,10.0,7.739104330539665e-07,0.0,2.1397394852505617e-08,7.953078279064705e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #5,2026-04-07T18:04:29,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.010127082467079163,2.730108141858795e-09,2.6784339268421947e-07,360.0,0.0,10.0,6.747070699930239e-07,0.0,1.8679257482290353e-08,6.933863274753151e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #5,2026-04-07T18:04:29,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.0027546733617782593,1.2728019601724684e-09,4.703741136758182e-07,360.0,0.0,10.0,3.145772963762276e-07,0.0,8.685897207922448e-09,3.23263193584145e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #6,2026-04-07T18:04:29,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.006927471607923508,1.717151549755703e-09,2.46837109761406e-07,360.0,0.0,10.0,4.2441971600055614e-07,0.0,1.169832216368772e-08,4.3611803816423836e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #6,2026-04-07T18:04:29,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.0071568116545677185,2.9748294289304703e-09,4.1905354592597216e-07,360.0,0.0,10.0,7.352013140916842e-07,0.0,2.0338739785883164e-08,7.555400538775695e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #6,2026-04-07T18:04:29,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.0027524754405021667,1.0855513171224383e-09,4.033308135437585e-07,360.0,0.0,10.0,2.6830621063709235e-07,0.0,7.3995130757492635e-09,2.757057237128463e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #7,2026-04-07T18:04:30,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.0057117268443107605,2.379905965653954e-09,4.164077752304396e-07,360.0,0.0,10.0,5.882017314434007e-07,0.0,1.624108602603283e-08,6.044428174694293e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #7,2026-04-07T18:04:30,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.012190602719783783,2.8206349333882656e-09,2.3031343892894377e-07,360.0,0.0,10.0,6.97083398699754e-07,0.0,1.9294706483682105e-08,7.163781051834319e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
