task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-04-05T03:20:27,energy-efficiency-e2e,6d51dad3-e256-4aea-b85c-c8b4baeb3fca,0.67705512419343,3.845939331817044e-07,5.683986047539995e-07,360.0,149.88831048164568,10.0,6.763737984001636e-05,2.8162244745999487e-05,1.8786214912931124e-06,9.767824607730896e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #1,2026-04-05T03:20:28,energy-efficiency-e2e,6d51dad3-e256-4aea-b85c-c8b4baeb3fca,1.1278955563902855,7.024422423910545e-07,6.230679244783987e-07,360.0,200.206483793204,10.0,0.00011263476125895977,6.264143900125418e-05,3.1283981684181426e-06,0.00017840459842863212,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #1,2026-04-05T03:20:28,energy-efficiency-e2e,6d51dad3-e256-4aea-b85c-c8b4baeb3fca,0.042406048625707626,3.6382126823817834e-08,8.619499886192513e-07,360.0,393.1061126733641,10.0,4.3584711849689595e-06,4.760837143180652e-06,1.2093711023529402e-07,9.24024543838488e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #2,2026-04-05T03:20:28,energy-efficiency-e2e,6d51dad3-e256-4aea-b85c-c8b4baeb3fca,0.500907227396965,3.11108626644072e-07,6.212475038632812e-07,360.0,198.3311423266201,10.0,5.005005039274694e-05,2.75744665145794e-05,1.3901070070763432e-06,7.90146239144027e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #2,2026-04-05T03:20:30,energy-efficiency-e2e,6d51dad3-e256-4aea-b85c-c8b4baeb3fca,1.1135977692902088,7.044443328506124e-07,6.329245168138186e-07,360.0,208.90720734628286,10.0,0.0001112585309892893,6.456421830591808e-05,3.0903352734943236e-06,0.00017891308456870165,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #2,2026-04-05T03:20:30,energy-efficiency-e2e,6d51dad3-e256-4aea-b85c-c8b4baeb3fca,0.0035371556878089905,1.3560458270330238e-09,3.845824814518477e-07,360.0,0.0,10.0,3.351617604493984e-07,0.0,9.243511077431331e-09,3.444052715268365e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #3,2026-04-05T03:20:30,energy-efficiency-e2e,6d51dad3-e256-4aea-b85c-c8b4baeb3fca,0.4983852170407772,3.158337577967255e-07,6.339059849945431e-07,360.0,209.96827464851611,10.0,4.979065768420698e-05,2.9041134339991004e-05,1.3829093840387137e-06,8.021470140823672e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #3,2026-04-05T03:20:31,energy-efficiency-e2e,6d51dad3-e256-4aea-b85c-c8b4baeb3fca,1.1126011945307255,6.970327821699292e-07,6.269533587352432e-07,360.0,203.4444245757983,10.0,0.00011113679371774199,6.280699469130013e-05,3.0869282678597505e-06,0.00017703071667690186,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #3,2026-04-05T03:20:31,energy-efficiency-e2e,6d51dad3-e256-4aea-b85c-c8b4baeb3fca,0.00361478328704834,1.3644116828223426e-09,3.8255164199245343e-07,360.0,0.0,10.0,3.372289240360796e-07,0.0,9.30108750859954e-09,3.465300115446622e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #4,2026-04-05T03:20:32,energy-efficiency-e2e,6d51dad3-e256-4aea-b85c-c8b4baeb3fca,0.5026938505470753,3.226801496495741e-07,6.42195030908025e-07,360.0,217.46436263803344,10.0,5.022089481353763e-05,3.033780205896619e-05,1.394834741950035e-06,8.195353161445391e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
