step,gpu_util,cpu_util,gpu_mem_gb,gpu_mem_pct,cpu_mem_gb,io_read_gb,io_write_gb
1.0,1.0,418.7,0.03131246566772461,0.0,0.9538803100585938,0.0,0.0
2.0,81.0,102.8,0.13538217544555664,32.0,1.3148117065429688,0.0,0.0
3.0,100.0,109.0,0.13538217544555664,39.0,1.31512451171875,0.0,0.0
4.0,100.0,113.2,0.13538217544555664,38.0,1.3441848754882812,0.0,0.0
5.0,100.0,111.6,0.13538217544555664,36.0,1.3441963195800781,0.0,0.0
6.0,100.0,111.1,0.13538217544555664,36.0,1.34429931640625,0.0,0.0
7.0,100.0,111.6,0.13538217544555664,37.0,1.3723564147949219,0.0,0.0
8.0,100.0,115.8,0.13538217544555664,36.0,1.3158111572265625,0.0,0.0
9.0,100.0,111.4,0.13538217544555664,36.0,1.3440589904785156,0.0,0.0
10.0,99.0,111.8,0.13538217544555664,36.0,1.3726005554199219,0.0,0.0
11.0,100.0,111.1,0.13538217544555664,37.0,1.3726005554199219,0.0,0.0
12.0,100.0,108.4,0.13538217544555664,37.0,1.3727493286132812,0.0,0.0
13.0,100.0,108.4,0.13538217544555664,36.0,1.3727645874023438,0.0,0.0
14.0,100.0,108.5,0.13538217544555664,37.0,1.3728103637695312,0.0,0.0
15.0,100.0,108.4,0.13538217544555664,36.0,1.3728179931640625,0.0,0.0
16.0,100.0,108.5,0.13538217544555664,36.0,1.3728179931640625,0.0,0.0
17.0,100.0,108.6,0.13538217544555664,36.0,1.3729057312011719,0.0,0.0
18.0,99.0,109.5,0.13538217544555664,36.0,1.3731231689453125,0.0,0.0
19.0,100.0,108.5,0.13538217544555664,38.0,1.3731231689453125,0.0,0.0
20.0,100.0,108.7,0.13538217544555664,37.0,1.3731231689453125,0.0,0.0
21.0,100.0,108.1,0.13538217544555664,36.0,1.3732147216796875,0.0,0.0
22.0,100.0,110.8,0.13538217544555664,37.0,1.3732795715332031,0.0,0.0
23.0,100.0,108.6,0.13538217544555664,37.0,1.3732795715332031,0.0,0.0
24.0,100.0,108.5,0.13538217544555664,35.0,1.3732948303222656,0.0,0.0
25.0,99.0,110.3,0.13538217544555664,36.0,1.3733901977539062,0.0,0.0
26.0,100.0,111.9,0.13538217544555664,36.0,1.3734512329101562,0.0,0.0
27.0,100.0,108.6,0.13538217544555664,37.0,1.3734512329101562,0.0,0.0
28.0,100.0,108.7,0.13538217544555664,37.0,1.3735122680664062,0.0,0.0
29.0,100.0,108.3,0.13538217544555664,36.0,1.3735275268554688,0.0,0.0
30.0,100.0,108.3,0.13538217544555664,37.0,1.3735618591308594,0.0,0.0
31.0,100.0,108.4,0.13538217544555664,37.0,1.3736305236816406,0.0,0.0
32.0,100.0,108.1,0.13538217544555664,35.0,1.3736343383789062,0.0,0.0
