step,gpu_util,cpu_util,gpu_mem_gb,gpu_mem_pct,cpu_mem_gb,io_read_gb,io_write_gb
1.0,44.666666666666664,103.03333333333335,0.145365504,18.0,2.7449835520000003,5.325529088000001,0.0
2.0,100.0,97.56666666666666,0.145365504,36.666666666666664,2.6964882773333336,5.326042453333334,0.0
3.0,100.0,99.5,0.145365504,37.333333333333336,2.6842767359999997,5.326155776,0.0
4.0,100.0,99.0,0.145365504,37.0,2.5945907200000007,5.326277290666667,0.0
5.0,98.0,98.40000000000002,0.145365504,37.333333333333336,2.5711588693333334,5.32637696,0.0
6.0,97.0,100.8,0.145365504,37.666666666666664,2.491652778666667,5.326482090666667,0.0
7.0,98.0,99.06666666666666,0.145365504,37.666666666666664,2.485290325333333,5.326528512,0.0
8.0,98.0,99.76666666666667,0.145365504,38.0,2.4099239253333335,5.326588586666667,0.0
9.0,97.66666666666667,99.60000000000001,0.145365504,37.0,2.403119104,5.326654122666667,0.0
10.0,100.0,99.53333333333335,0.145365504,36.666666666666664,2.3125988693333333,5.3267401386666675,0.0
11.0,100.0,99.56666666666668,0.145365504,37.333333333333336,2.302877696,5.326797482666667,0.0
12.0,100.0,99.60000000000001,0.145365504,37.0,2.222615210666667,5.326858922666666,0.0
13.0,98.33333333333333,100.16666666666667,0.145365504,36.666666666666664,2.2166787413333338,5.326897152,0.0
14.0,97.66666666666667,99.66666666666667,0.145365504,38.0,2.129058474666667,5.32699136,0.0
15.0,97.66666666666667,100.3,0.145365504,37.666666666666664,2.1184935253333337,5.327063722666667,0.0
16.0,98.0,99.23333333333333,0.145365504,37.0,2.0407268693333336,5.327140181333334,0.0
17.0,100.0,99.26666666666667,0.145365504,37.333333333333336,2.0324147200000002,5.327194794666667,0.0
18.0,100.0,99.16666666666667,0.145365504,37.333333333333336,1.9373151573333336,5.327289002666667,0.0
19.0,100.0,100.03333333333335,0.145365504,37.0,1.9278506666666668,5.327346346666667,0.0
20.0,100.0,100.2,0.145365504,37.333333333333336,1.8519599786666667,5.327399594666667,0.0
21.0,98.66666666666667,99.36666666666667,0.145365504,37.0,1.8461327360000002,5.327458304000001,0.0
22.0,100.0,99.60000000000001,0.145365504,37.333333333333336,1.7501320533333333,5.327518378666667,0.0
23.0,100.0,100.06666666666666,0.145365504,37.0,1.744027648,5.327570261333334,0.0
24.0,100.0,99.5,0.145365504,37.333333333333336,1.675350016,5.327594837333334,0.0
25.0,100.0,100.8,0.145365504,36.666666666666664,1.6660930560000002,5.3276357973333335,0.0
26.0,100.0,98.83333333333333,0.145365504,37.0,1.5858551466666668,5.327664469333334,0.0
27.0,100.0,100.2,0.145365504,37.0,1.5802163200000001,5.327689045333334,0.0
28.0,97.66666666666667,100.2,0.145365504,36.333333333333336,1.5021329066666667,5.3277532160000005,0.0
29.0,98.0,99.73333333333333,0.145365504,38.333333333333336,1.487723178666667,5.3278050986666665,0.0
30.0,100.0,99.5,0.145365504,37.666666666666664,1.4016293546666667,5.327858346666667,0.0
31.0,100.0,100.39999999999999,0.145365504,37.333333333333336,1.3953174186666668,5.327919786666667,0.0
32.0,100.0,99.16666666666667,0.145365504,37.0,1.3296571733333336,5.327963477333334,0.0
33.0,100.0,99.90000000000002,0.145365504,37.0,1.3218542933333335,5.32799488,0.0
34.0,98.33333333333333,99.56666666666666,0.145365504,37.0,1.267744768,5.328034474666667,0.0
35.0,98.66666666666667,99.93333333333334,0.145365504,37.0,1.2653335893333335,5.328104106666667,0.0
36.0,98.0,99.93333333333334,0.145365504,38.0,1.2267246933333336,5.328188757333334,0.0
37.0,98.0,99.36666666666667,0.145365504,37.666666666666664,1.2262413653333335,5.328242005333333,0.0
38.0,99.0,99.89999999999999,0.145365504,37.333333333333336,1.1852950186666669,5.32832256,0.0
39.0,100.0,100.03333333333335,0.145365504,37.666666666666664,1.1665053013333335,5.328351232,0.0
40.0,100.0,100.06666666666668,0.145365504,37.0,1.1228678826666667,5.3284017493333335,0.0
41.0,100.0,98.93333333333332,0.145365504,37.0,1.1179717973333334,5.328487765333333,0.0
42.0,99.0,100.33333333333333,0.145365504,37.333333333333336,1.0611275093333334,5.328564224,0.0
43.0,100.0,99.46666666666668,0.145365504,37.666666666666664,1.0605786453333335,5.3286202026666665,0.0
44.0,97.66666666666667,99.23333333333335,0.145365504,37.333333333333336,1.0199927466666667,5.328901461333333,0.0
45.0,98.0,99.66666666666667,0.145365504,38.0,1.0189824,5.328965632,0.0
46.0,99.33333333333333,100.53333333333335,0.145365504,37.333333333333336,0.988622848,5.329010688,0.0
47.0,100.0,99.13333333333334,0.145365504,37.0,0.9884330666666669,5.329063936,0.0
48.0,100.0,99.73333333333335,0.145365504,37.0,0.9803967146666667,5.3291281066666665,0.0
49.0,100.0,99.63333333333333,0.145365504,36.666666666666664,0.9804103680000001,5.329192277333334,0.0
50.0,100.0,98.93333333333334,0.145365504,37.333333333333336,0.9804636160000001,5.329276928,0.0
51.0,100.0,99.10000000000001,0.145365504,37.0,0.9804895573333333,5.329316522666667,0.0
52.0,97.66666666666667,100.33333333333333,0.145365504,36.333333333333336,0.9804977493333333,5.329372501333334,0.0
53.0,98.0,99.89999999999999,0.145365504,38.0,0.98054144,5.329401173333333,0.0
54.0,97.66666666666667,99.56666666666668,0.145365504,37.666666666666664,0.9804049066666667,5.329458517333333,0.0
55.0,100.0,100.23333333333335,0.145365504,37.333333333333336,0.9802874880000001,5.329511765333334,0.0
56.0,100.0,90.73333333333335,0.145365504,37.333333333333336,0.9798656000000001,5.339787263999999,0.0
57.0,100.0,90.33333333333333,0.145365504,36.333333333333336,0.9798874453333332,5.350091434666666,0.0
58.0,100.0,90.83333333333333,0.145365504,37.333333333333336,0.9789371733333335,5.360396970666667,0.0
59.0,100.0,91.5,0.145365504,37.333333333333336,0.972177408,5.3707079680000005,0.0
60.0,99.0,90.63333333333333,0.145365504,36.666666666666664,0.9553100800000002,5.381010773333333,0.0
61.0,96.33333333333333,94.73333333333333,0.145365504,37.333333333333336,0.945299456,5.3856556373333335,0.0
62.0,97.33333333333333,98.63333333333333,0.145365504,37.666666666666664,0.9141876053333333,5.385717077333333,0.0
63.0,100.0,100.13333333333333,0.145365504,37.333333333333336,0.9107592533333334,5.385785344000001,0.0
64.0,100.0,98.76666666666667,0.145365504,37.0,0.8738884266666668,5.385816746666667,0.0
65.0,100.0,100.63333333333333,0.145365504,36.666666666666664,0.8706198186666668,5.385895936,0.0
66.0,100.0,99.40000000000002,0.145365504,36.666666666666664,0.8689691306666667,5.385925973333333,0.0
67.0,100.0,99.3,0.145365504,37.333333333333336,0.869023744,5.386003797333333,0.0
68.0,97.66666666666667,99.43333333333334,0.145365504,36.666666666666664,0.8689855146666666,5.386062506666666,0.0
69.0,98.0,99.83333333333333,0.145365504,37.333333333333336,0.8690292053333334,5.386092544,0.0
70.0,95.66666666666667,99.59999999999998,0.145365504,36.333333333333336,0.8690551466666667,5.386145792000001,0.0
71.0,100.0,100.46666666666665,0.145365504,37.333333333333336,0.8690961066666668,5.3861662720000005,0.0
72.0,100.0,99.3,0.145365504,37.0,0.8688831146666667,5.386208597333334,0.0
73.0,100.0,99.23333333333333,0.145365504,36.333333333333336,0.8690865493333334,5.386256384,0.0
74.0,100.0,99.93333333333334,0.145365504,37.333333333333336,0.869093376,5.386293248,0.0
75.0,99.0,99.43333333333334,0.145365504,36.666666666666664,0.8691425280000001,5.386331477333333,0.0
76.0,95.66666666666667,101.63333333333333,0.145365504,37.666666666666664,0.8691862186666667,5.386376533333333,0.0
77.0,98.0,97.13333333333333,0.145365504,37.666666666666664,0.8690292053333334,5.386443434666667,0.0
78.0,98.0,98.76666666666667,0.145365504,37.333333333333336,0.8692162560000001,5.386528085333334,0.0
79.0,100.0,100.89999999999999,0.145365504,37.0,0.8692490240000001,5.386555392000001,0.0
80.0,100.0,99.13333333333333,0.145365504,36.333333333333336,0.8690305706666667,5.3865908906666675,0.0
81.0,100.0,99.7,0.145365504,36.333333333333336,0.8692640426666666,5.3866168320000005,0.0
82.0,99.66666666666667,100.80000000000001,0.145365504,37.333333333333336,0.8690824533333333,5.386701482666667,0.0
83.0,95.33333333333333,98.26666666666667,0.145365504,36.666666666666664,0.8691083946666667,5.38677248,0.0
84.0,97.66666666666667,91.0,0.145365504,37.333333333333336,0.8687274666666666,5.397068458666666,0.0
