data_source,trainer,workers,batch_size,mean_s,std_s,count,noop_s,overhead_s,overhead_pct
disk,codecarbon,0,32,98.0,1.0,3,72.0,26.0,36.11111111111111
disk,codecarbon,0,64,93.66666666666667,0.5773502691896247,3,71.33333333333333,22.333333333333343,31.308411214953285
disk,codecarbon,0,128,91.66666666666667,1.1547005383792526,3,70.33333333333333,21.333333333333343,30.331753554502384
disk,codecarbon,4,32,118.66666666666667,0.5773502691896247,3,114.5,4.166666666666671,3.6390101892285336
disk,codecarbon,4,64,117.0,1.7320508075688772,3,112.66666666666667,4.333333333333329,3.8461538461538414
disk,codecarbon,4,128,121.0,2.6457513110645907,3,116.33333333333333,4.666666666666671,4.01146131805158
disk,codecarbon_e2e,0,32,96.66666666666667,0.5773502691896247,3,72.0,24.66666666666667,34.25925925925927
disk,codecarbon_e2e,0,64,93.0,0.0,3,71.33333333333333,21.66666666666667,30.373831775700943
disk,codecarbon_e2e,0,128,91.66666666666667,0.5773502691896278,3,70.33333333333333,21.333333333333343,30.331753554502384
disk,codecarbon_e2e,4,32,118.0,1.4142135623730951,2,114.5,3.5,3.056768558951965
disk,codecarbon_e2e,4,64,116.33333333333333,1.1547005383792495,3,112.66666666666667,3.666666666666657,3.254437869822477
disk,codecarbon_e2e,4,128,117.66666666666667,2.88675134594813,3,116.33333333333333,1.3333333333333428,1.1461318051576013
disk,noop,0,32,72.0,0.0,3,72.0,0.0,0.0
disk,noop,0,64,71.33333333333333,0.5773502691896247,3,71.33333333333333,0.0,0.0
disk,noop,0,128,70.33333333333333,0.5773502691896247,3,70.33333333333333,0.0,0.0
disk,noop,4,32,114.5,0.7071067811865476,2,114.5,0.0,0.0
disk,noop,4,64,112.66666666666667,1.1547005383792526,3,112.66666666666667,0.0,0.0
disk,noop,4,128,116.33333333333333,3.7859388972001837,3,116.33333333333333,0.0,0.0
disk,phase_times,0,32,96.0,0.0,3,72.0,24.0,33.33333333333333
disk,phase_times,0,64,93.66666666666667,1.1547005383792526,3,71.33333333333333,22.333333333333343,31.308411214953285
disk,phase_times,0,128,94.33333333333333,0.5773502691896247,3,70.33333333333333,24.0,34.12322274881517
disk,phase_times,4,32,118.0,1.0,3,114.5,3.5,3.056768558951965
disk,phase_times,4,64,116.66666666666667,1.1547005383792526,3,112.66666666666667,4.0,3.5502958579881656
disk,phase_times,4,128,120.0,3.4641016151377544,3,116.33333333333333,3.6666666666666714,3.151862464183385
disk,resource_util,0,32,98.0,0.0,3,72.0,26.0,36.11111111111111
disk,resource_util,0,64,95.33333333333333,0.5773502691896278,3,71.33333333333333,24.0,33.64485981308412
disk,resource_util,0,128,94.33333333333333,2.309401076758502,3,70.33333333333333,24.0,34.12322274881517
disk,resource_util,4,32,119.33333333333333,1.5275252316519485,3,114.5,4.833333333333329,4.22125181950509
disk,resource_util,4,64,119.0,1.0,3,112.66666666666667,6.333333333333329,5.621301775147924
