step,gpu_util_pct,gpu_mem_util_pct,gpu_power_w,gpu_mem_alloc_mb,gpu_mem_reserved_mb,cpu_util_pct,cpu_mem_mb,disk_read_mb,disk_write_mb
58,100.0,40.0,188.245,140.35009765625,11112.0,131.2,4495.37109375,3399.15625,0.0
59,100.0,38.0,194.19,140.35009765625,11112.0,126.2,4495.13671875,3457.8203125,0.0
60,100.0,37.0,186.603,140.35009765625,11112.0,131.7,4494.33203125,3516.43359375,0.0
61,100.0,34.0,191.312,140.35009765625,11112.0,128.1,4493.87890625,3575.140625,0.0
62,100.0,36.0,181.089,140.35009765625,11112.0,145.7,4492.85546875,3633.703125,0.0
63,100.0,38.0,194.405,140.35009765625,11112.0,127.0,4490.58203125,3692.3203125,0.0
64,100.0,39.0,185.2,140.35009765625,11112.0,137.4,4484.78515625,3750.8515625,0.0
65,100.0,37.0,184.176,140.35009765625,11112.0,137.3,4485.7734375,3808.79296875,0.0
66,100.0,34.0,185.197,140.35009765625,11112.0,138.5,4486.17578125,3866.7421875,0.0
67,100.0,34.0,182.319,140.35009765625,11112.0,143.2,4485.296875,3924.96875,0.0
68,100.0,39.0,199.318,140.35009765625,11112.0,119.2,4486.390625,3982.91796875,0.0
69,100.0,38.0,193.971,140.35009765625,11112.0,121.4,4487.390625,4040.7890625,0.0
70,100.0,35.0,197.562,140.35009765625,11112.0,121.0,4488.15234375,4098.59765625,0.0
71,100.0,35.0,201.67,140.35009765625,11112.0,116.8,4488.51171875,4156.91796875,0.0
72,100.0,40.0,190.506,140.35009765625,11112.0,119.9,4489.44140625,4215.02734375,0.0
73,100.0,36.0,198.08,140.35009765625,11112.0,120.4,4489.79296875,4273.12109375,0.0
74,100.0,35.0,199.456,140.35009765625,11112.0,111.4,4490.65234375,4331.16796875,0.0
75,100.0,36.0,198.934,140.35009765625,11112.0,120.4,4490.72265625,4389.48046875,0.0
76,100.0,40.0,198.512,140.35009765625,11112.0,119.4,4491.80078125,4447.58984375,0.0
77,100.0,38.0,193.122,140.35009765625,11112.0,125.8,4492.29296875,4505.5234375,0.0
78,100.0,35.0,198.076,140.35009765625,11112.0,109.4,4493.03125,4563.63671875,0.0
79,100.0,39.0,193.924,140.35009765625,11112.0,125.7,4493.421875,4621.86328125,0.0
80,100.0,38.0,199.25,140.35009765625,11112.0,113.1,4494.453125,4679.62109375,0.0
81,100.0,35.0,190.617,140.35009765625,11112.0,130.5,4495.38671875,4737.66015625,0.0
82,100.0,37.0,200.165,140.35009765625,11112.0,112.9,4495.73828125,4795.70703125,0.0
83,100.0,39.0,199.371,140.35009765625,11112.0,114.9,4496.015625,4854.02734375,0.0
84,100.0,38.0,199.707,140.35009765625,11112.0,110.9,4496.55078125,4912.203125,0.0
85,100.0,35.0,192.451,140.35009765625,11112.0,118.7,4497.29296875,4970.37109375,0.0
86,100.0,34.0,196.868,139.96826171875,11112.0,107.5,4501.890625,5028.625,0.0
