step,gpu_util_pct,gpu_mem_util_pct,gpu_power_w,gpu_mem_alloc_mb,gpu_mem_reserved_mb,cpu_util_pct,cpu_mem_mb,disk_read_mb,disk_write_mb
1,0.0,0.0,72.735,32.06396484375,52.0,8.3,1160.65234375,0.0,0.0
2,100.0,41.0,215.902,139.94384765625,22032.0,99.3,1449.33203125,0.0,0.0
3,100.0,35.0,218.108,139.31884765625,22032.0,100.4,1449.73046875,0.0,0.0
4,100.0,40.0,217.04,139.31884765625,22032.0,99.7,1449.74609375,0.0,0.0
5,100.0,41.0,216.15,139.31884765625,22032.0,99.9,1449.80078125,0.0,0.0
6,100.0,36.0,216.278,139.31884765625,22032.0,100.5,1449.87890625,0.0,0.0
7,100.0,40.0,218.323,139.31884765625,22032.0,99.6,1449.93359375,0.0,0.0
8,100.0,41.0,215.716,139.31884765625,22032.0,97.2,1450.01953125,0.0,0.0
9,100.0,35.0,216.682,139.31884765625,22032.0,100.2,1450.109375,0.0,0.0
10,100.0,40.0,217.533,139.31884765625,22032.0,100.1,1450.1484375,0.0,0.0
11,100.0,41.0,217.74,139.31884765625,22032.0,100.1,1450.18359375,0.0,0.0
12,100.0,35.0,217.642,139.31884765625,22032.0,99.6,1450.23046875,0.0,0.0
13,100.0,40.0,217.096,139.31884765625,22032.0,100.9,1450.3125,0.0,0.0
14,100.0,36.0,217.258,139.31884765625,22032.0,99.6,1450.3203125,0.0,0.0
15,100.0,38.0,219.041,139.31884765625,22032.0,100.0,1450.359375,0.0,0.0
16,100.0,40.0,218.741,139.31884765625,22032.0,99.9,1450.40234375,0.0,0.0
17,100.0,36.0,219.176,139.31884765625,22032.0,100.2,1450.4453125,0.0,0.0
18,100.0,39.0,217.754,139.31884765625,22032.0,100.1,1450.48828125,0.0,0.0
19,99.0,42.0,216.547,139.31884765625,22032.0,100.2,1450.59765625,0.0,0.0
20,100.0,36.0,217.274,139.31884765625,22032.0,99.4,1450.60546875,0.0,0.0
21,100.0,40.0,217.551,139.31884765625,22032.0,100.3,1450.6484375,0.0,0.0
22,100.0,38.0,217.778,139.31884765625,22032.0,100.1,1450.6875,0.0,0.0
23,100.0,35.0,216.809,139.31884765625,22032.0,99.9,1450.73046875,0.0,0.0
24,93.0,40.0,218.736,139.31884765625,22032.0,100.0,1450.7734375,0.0,0.0
25,100.0,33.0,218.093,139.31884765625,22032.0,99.7,1450.8125,0.0,0.0
26,100.0,40.0,217.112,139.31884765625,22032.0,100.1,1450.890625,0.0,0.0
27,100.0,38.0,217.425,139.31884765625,22032.0,100.4,1450.89453125,0.0,0.0
28,100.0,35.0,219.081,139.31884765625,22032.0,99.8,1450.93359375,0.0,0.0
29,100.0,40.0,217.712,139.31884765625,22032.0,99.7,1451.01953125,0.0,0.0
30,100.0,33.0,218.089,139.31884765625,22032.0,100.1,1451.05859375,0.0,0.0
31,100.0,40.0,219.086,139.31884765625,22032.0,100.3,1451.10546875,0.0,0.0
32,100.0,37.0,218.859,139.31884765625,22032.0,99.8,1451.1484375,0.0,0.0
33,100.0,36.0,219.934,139.31884765625,22032.0,100.4,1451.1875,0.0,0.0
34,100.0,40.0,217.065,139.31884765625,22032.0,100.2,1451.2265625,0.0,0.0
35,100.0,33.0,216.934,139.31884765625,22032.0,99.6,1451.30859375,0.0,0.0
36,100.0,40.0,218.016,139.31884765625,22032.0,99.8,1451.31640625,0.0,0.0
37,100.0,36.0,218.956,139.31884765625,22032.0,100.1,1451.35546875,0.0,0.0
38,100.0,36.0,219.902,139.31884765625,22032.0,100.3,1451.40234375,0.0,0.0
39,100.0,40.0,218.093,139.31884765625,22032.0,99.8,1451.44140625,0.0,0.0
40,100.0,35.0,218.788,139.31884765625,22032.0,100.2,1451.48828125,0.0,0.0
41,100.0,40.0,217.55,139.31884765625,22032.0,99.8,1451.52734375,0.0,0.0
42,100.0,35.0,216.776,139.31884765625,22032.0,100.3,1451.5703125,0.0,0.0
43,100.0,39.0,220.094,139.31884765625,22032.0,99.8,1451.61328125,0.0,0.0
44,100.0,40.0,219.815,139.31884765625,22032.0,100.2,1451.65625,0.0,0.0
45,100.0,35.0,219.455,139.31884765625,22032.0,99.8,1451.703125,0.0,0.0
46,100.0,40.0,219.238,139.31884765625,22032.0,99.9,1451.7421875,0.0,0.0
47,100.0,33.0,217.638,139.31884765625,22032.0,100.2,1451.81640625,0.0,0.0
48,100.0,40.0,216.981,139.31884765625,22032.0,100.4,1451.8203125,0.0,0.0
49,100.0,35.0,219.48,139.31884765625,22032.0,100.0,1451.8671875,0.0,0.0
50,100.0,40.0,220.034,139.31884765625,22032.0,99.9,1451.91015625,0.0,0.0
51,100.0,40.0,219.955,139.31884765625,22032.0,99.5,1451.953125,0.0,0.0
52,100.0,35.0,218.998,139.31884765625,22032.0,100.4,1452.0,0.0,0.0
53,100.0,40.0,218.206,139.31884765625,22032.0,100.4,1452.0390625,0.0,0.0
54,100.0,35.0,218.161,139.31884765625,22032.0,99.3,1452.11328125,0.0,0.0
55,100.0,40.0,217.63,139.31884765625,22032.0,100.1,1452.12109375,0.0,0.0
56,100.0,35.0,218.228,139.31884765625,22032.0,100.0,1452.1640625,0.0,0.0
57,100.0,40.0,219.159,139.31884765625,22032.0,100.3,1452.203125,0.0,0.0
58,100.0,39.0,218.897,139.31884765625,22032.0,100.4,1452.25,0.0,0.0
59,100.0,37.0,218.882,139.31884765625,22032.0,99.5,1452.2890625,0.0,0.0
60,100.0,40.0,216.66,139.31884765625,22032.0,99.7,1452.33203125,0.0,0.0
61,100.0,35.0,218.87,139.31884765625,22032.0,100.5,1452.3828125,0.0,0.0
62,100.0,40.0,217.611,139.31884765625,22032.0,99.8,1452.41796875,0.0,0.0
63,100.0,33.0,217.451,139.31884765625,22032.0,100.5,1452.49609375,0.0,0.0
64,100.0,40.0,217.618,139.31884765625,22032.0,99.9,1452.50390625,0.0,0.0
65,100.0,36.0,219.565,139.31884765625,22032.0,99.8,1452.5390625,0.0,0.0
66,100.0,39.0,219.608,139.31884765625,22032.0,100.0,1452.5859375,0.0,0.0
67,100.0,40.0,218.038,139.31884765625,22032.0,100.0,1452.62890625,0.0,0.0
68,100.0,35.0,217.403,139.31884765625,22032.0,100.3,1452.66796875,0.0,0.0
69,100.0,40.0,218.179,139.31884765625,22032.0,99.8,1452.71484375,0.0,0.0
70,100.0,35.0,216.953,139.31884765625,22032.0,100.3,1452.76171875,0.0,0.0
71,100.0,40.0,217.338,139.31884765625,22032.0,100.0,1452.80078125,0.0,0.0
72,100.0,35.0,217.921,139.31884765625,22032.0,99.5,1452.83984375,0.0,0.0
73,100.0,40.0,218.282,139.31884765625,22032.0,100.6,1452.890625,0.0,0.0
74,100.0,38.0,217.844,139.31884765625,22032.0,100.4,1452.92578125,0.0,0.0
75,100.0,38.0,217.119,139.31884765625,22032.0,99.3,1452.96484375,0.0,0.0
76,100.0,40.0,217.168,139.31884765625,22032.0,100.3,1453.0078125,0.0,0.0
77,100.0,36.0,217.463,139.31884765625,22032.0,99.5,1453.0546875,0.0,0.0
78,100.0,40.0,218.431,139.31884765625,22032.0,100.3,1453.09765625,0.0,0.0
79,100.0,35.0,217.624,139.31884765625,22032.0,100.0,1453.13671875,0.0,0.0
80,90.0,40.0,217.737,139.31884765625,22032.0,100.3,1453.18359375,0.0,0.0
81,100.0,33.0,218.803,139.31884765625,22032.0,99.7,1453.23046875,0.0,0.0
82,100.0,40.0,218.416,139.31884765625,22032.0,99.9,1453.30859375,0.0,0.0
83,100.0,36.0,217.567,139.31884765625,22032.0,100.6,1453.3125,0.0,0.0
84,100.0,39.0,217.82,139.31884765625,22032.0,99.8,1453.35546875,0.0,0.0
85,100.0,37.0,218.153,139.31884765625,22032.0,100.5,1453.39453125,0.0,0.0
86,100.0,36.0,218.808,139.31884765625,22032.0,99.1,1453.43359375,0.0,0.0
87,100.0,42.0,218.217,139.31884765625,22032.0,100.5,1453.4765625,0.0,0.0
88,100.0,35.0,218.616,139.31884765625,22032.0,99.7,1453.515625,0.0,0.0
89,98.0,42.0,218.55,139.31884765625,22032.0,100.2,1453.56640625,0.0,0.0
90,100.0,35.0,217.215,139.31884765625,22032.0,100.0,1453.609375,0.0,0.0
91,100.0,40.0,216.331,139.31884765625,22032.0,99.9,1453.6484375,0.0,0.0
92,100.0,33.0,216.654,139.31884765625,22032.0,100.2,1453.6953125,0.0,0.0
93,100.0,40.0,217.224,139.31884765625,22032.0,100.1,1453.734375,0.0,0.0
94,100.0,35.0,217.104,139.31884765625,22032.0,100.2,1453.77734375,0.0,0.0
95,100.0,40.0,218.561,139.31884765625,22032.0,99.9,1453.80859375,0.0,0.0
96,100.0,37.0,219.539,139.31884765625,22032.0,99.3,1453.85546875,0.0,0.0
97,100.0,38.0,217.665,139.31884765625,22032.0,99.9,1453.89453125,0.0,0.0
98,100.0,39.0,219.875,139.31884765625,22032.0,100.3,1453.94140625,0.0,0.0
99,100.0,34.0,218.804,139.31884765625,22032.0,100.3,1453.98046875,0.0,0.0
100,100.0,40.0,218.417,139.31884765625,22032.0,99.7,1454.0234375,0.0,0.0
101,100.0,35.0,217.875,139.31884765625,22032.0,100.7,1454.06640625,0.0,0.0
102,100.0,40.0,218.117,139.31884765625,22032.0,99.7,1454.14453125,0.0,0.0
103,100.0,33.0,217.455,139.31884765625,22032.0,99.9,1454.1484375,0.0,0.0
104,100.0,40.0,217.175,139.31884765625,22032.0,100.4,1454.1875,0.0,0.0
105,100.0,35.0,218.397,139.31884765625,22032.0,99.5,1454.23828125,0.0,0.0
106,100.0,40.0,219.199,139.31884765625,22032.0,100.3,1454.27734375,0.0,0.0
107,100.0,37.0,217.362,139.31884765625,22032.0,100.4,1454.31640625,0.0,0.0
108,100.0,37.0,219.245,139.31884765625,22032.0,99.9,1454.36328125,0.0,0.0
109,100.0,40.0,218.73,139.31884765625,22032.0,100.1,1454.3984375,0.0,0.0
110,100.0,35.0,218.693,139.31884765625,22032.0,99.3,1454.44140625,0.0,0.0
111,100.0,40.0,217.357,139.31884765625,22032.0,100.5,1454.484375,0.0,0.0
112,100.0,34.0,218.696,139.31884765625,22032.0,100.0,1454.52734375,0.0,0.0
113,100.0,40.0,218.111,139.31884765625,22032.0,100.2,1454.5703125,0.0,0.0
114,100.0,36.0,218.325,139.31884765625,22032.0,99.7,1454.609375,0.0,0.0
115,100.0,40.0,219.377,139.31884765625,22032.0,100.1,1454.65234375,0.0,0.0
116,100.0,40.0,220.415,139.31884765625,22032.0,99.9,1454.69140625,0.0,0.0
117,100.0,37.0,218.912,139.31884765625,22032.0,100.2,1454.73828125,0.0,0.0
118,100.0,41.0,218.13,139.31884765625,22032.0,100.3,1454.78125,0.0,0.0
119,100.0,35.0,218.167,139.31884765625,22032.0,99.7,1454.8125,0.0,0.0
120,100.0,40.0,217.735,139.31884765625,22032.0,99.8,1454.859375,0.0,0.0
121,100.0,34.0,217.318,139.31884765625,22032.0,100.4,1454.89453125,0.0,0.0
122,100.0,39.0,218.13,139.31884765625,22032.0,99.7,1454.9375,0.0,0.0
123,100.0,39.0,218.348,139.31884765625,22032.0,100.4,1455.01953125,0.0,0.0
124,100.0,37.0,217.432,139.31884765625,22032.0,99.8,1455.0234375,0.0,0.0
125,100.0,40.0,218.191,139.31884765625,22032.0,99.8,1455.0703125,0.0,0.0
