step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,100.0,0.0,12.49148928,2.26387968,22.166413312,5.30141184,0.0
2,100.0,0.0,12.49148928,2.196893696,22.165807104,5.301530624,0.0
3,100.0,0.0,12.49148928,2.126647296,22.164963328,5.301530624,0.0
4,100.0,0.0,12.49148928,2.046861312,22.165794816,5.301530624,0.0
5,100.0,0.0,12.49148928,1.955598336,22.165794816,5.3015552,0.0
6,100.0,0.0,12.49148928,1.90445568,22.165098496,5.301571584,0.0
7,100.0,0.0,12.49148928,1.85772032,22.166208512,5.301612544,0.0
8,100.0,0.0,12.49148928,1.802924032,22.165782528,5.301620736,0.0
9,100.0,0.0,12.49148928,1.734012928,22.191706112,5.301620736,0.0
10,100.0,0.0,12.49148928,1.68124416,22.182518784,5.301624832,0.0
11,100.0,0.0,12.49148928,1.62193408,22.429536256,5.301624832,0.0
12,100.0,0.0,12.49148928,1.553481728,22.516133888,5.301628928,0.0
13,100.0,0.0,12.49148928,1.482047488,22.592651264,5.301653504,0.0
14,100.0,0.0,12.49148928,1.423757312,22.627033088,5.301686272,0.0
15,100.0,0.0,12.49148928,1.360420864,23.312867328,5.30171904,0.0
16,100.0,0.0,12.49148928,1.2809216,24.064446464,5.301723136,0.0
17,100.0,0.0,12.49148928,1.223954432,24.905834496,5.301723136,0.0
18,100.0,0.0,12.49148928,1.164460032,25.151442944,5.301727232,0.0
19,100.0,0.0,12.49148928,1.161609216,25.15214336,5.301727232,0.0
20,100.0,0.0,12.49148928,1.161609216,25.149566976,5.301727232,0.0
21,100.0,0.0,12.49148928,1.160585216,25.160134656,5.301727232,0.0
22,100.0,0.0,12.49148928,1.161535488,25.257099264,5.301727232,0.0
23,100.0,0.0,12.49148928,1.16150272,25.297379328,5.301727232,0.0
24,100.0,0.0,12.49148928,1.159979008,25.393442816,5.301727232,0.0
25,100.0,0.0,12.49148928,1.161228288,25.48107264,5.301727232,0.0
26,100.0,0.0,12.49148928,1.161228288,25.575251968,5.301727232,0.0
27,100.0,0.0,12.49148928,1.160196096,25.659744256,5.301727232,0.0
28,100.0,0.0,12.49148928,1.161216,25.728897024,5.301727232,0.0
29,100.0,0.0,12.49148928,1.161265152,25.804058624,5.301727232,0.0
30,100.0,0.0,12.49148928,1.160175616,25.858973696,5.301731328,0.0
31,100.0,0.0,12.49148928,1.16133888,25.9487744,5.301731328,0.0
32,100.0,0.0,12.49148928,1.16133888,26.039611392,5.301731328,0.0
33,100.0,0.0,12.49148928,1.160372224,26.130857984,5.301731328,0.0
34,100.0,0.0,12.49148928,1.16133888,26.223079424,5.301731328,0.0
